geneid	chr	s1	s2
CMPK2|129607	chr2	6980503	7005936
CMTM1|113540	chr16	66600294	66613036
CMTM2|146225	chr16	66613351	66622175
CMTM3|123920	chr16	66638202	66647793
CMTM4|146223	chr16	66648654	66730610
CMTM5|116173	chr14	23846017	23848980
CMTM6|54918	chr3	32522804	32544403
CMTM7|112616	chr3	32433163	32496333
CMTM8|152189	chr3	32280171	32411811
CMYA5|202333	chr5	78985659	79096048
CN5H6.4|150384	chr22	46691041	46692557
CNBD1|168975	chr8	87878676	88394955
CNBP|7555	chr3	128886659	128902810
CNDP1|84735	chr18	72201692	72252259
CNDP2|55748	chr18	72163597	72188356
CNFN|84518	chr19	42891174	42894444
CNGA1|1259	chr4	47937996	48018610
CNGA2|1260	chr23	150903218	150914036
CNGA3|1261	chr2	98962618	99015057
CNGA4|1262	chr11	6255995	6265707
CNGB1|1258	chr16	57916244	58005020
CNGB3|54714	chr8	87586162	87755901
CNIH2|254263	chr11	66045696	66051683
CNIH3|149111	chr1	224804179	224928249
CNIH4|29097	chr1	224544595	224567143
CNIH|10175	chr14	54893647	54908148
CNKSR1|10256	chr1	26503981	26516373
CNKSR2|22866	chr23	21392980	21670779
CNKSR3|154043	chr6	154726434	154831753
CNN1|1264	chr19	11649579	11661138
CNN2|1265	chr19	1026298	1039063
CNN3|1266	chr1	95362509	95392735
CNNM1|26507	chr10	101088856	101154085
CNNM2|54805	chr10	104678114	104838238
CNNM3|26505	chr2	97481991	97501120
CNNM4|26504	chr2	97426639	97477626
CNOT10|25904	chr3	32726698	32815354
CNOT1|23019	chr16	58553856	58663750
CNOT2|4848	chr12	70636777	70748772
CNOT3|4849	chr19	54641449	54659427
CNOT4|4850	chr7	135046553	135194851
CNOT6L|246175	chr4	78634542	78740544
CNOT6|57472	chr5	179921417	180005352
CNOT7|29883	chr8	17086740	17104387
CNOT8|9337	chr5	154237809	154256351
CNO|55330	chr4	6717842	6719387
CNPY1|285888	chr7	155293953	155326539
CNPY2|10330	chr12	56704217	56710120
CNPY3|10695	chr6	42896860	42907007
CNPY4|245812	chr7	99717265	99723126
CNP|1267	chr17	40118759	40129754
CNR1|1268	chr6	88849587	88875767
CNR2|1269	chr1	24200461	24239817
CNRIP1|25927	chr2	68511304	68547183
CNST|163882	chr1	246729639	246831883
CNTD1|124817	chr17	40950854	40963604
CNTD2|79935	chr19	40728116	40732597
CNTFR|1271	chr9	34551431	34589722
CNTF|1270	chr11	58390146	58393203
CNTLN|54875	chr9	17135038	17503915
CNTN1|1272	chr12	41086358	41464094
CNTN2|6900	chr1	205012065	205047136
CNTN3|5067	chr3	74311722	74570343
CNTN4|152330	chr3	2140550	3099644
CNTN5|53942	chr11	98891871	100227472
CNTN6|27255	chr3	1134620	1445277
CNTNAP1|8506	chr17	40834632	40852010
CNTNAP2|26047	chr7	145813453	148118086
CNTNAP3|79937	chr9	39072766	39288300
CNTNAP4|85445	chr16	76311176	76593135
CNTNAP5|129684	chr2	124782864	125672861
CNTROB|116840	chr17	7835473	7852895
COASY|80347	chr17	40714092	40718294
COBLL1|22837	chr2	165541260	165698678
COBL|23242	chr7	51083910	51384515
COBRA1|25920	chr9	140149759	140167999
COCH|1690	chr14	31343741	31364259
COG1|9382	chr17	71189173	71204643
COG2|22796	chr1	230778202	230829730
COG3|83548	chr13	46039071	46110759
COG4|25839	chr16	70514473	70557457
COG5|10466	chr7	106842189	107204959
COG6|57511	chr13	40229764	40365802
COG7|91949	chr16	23399816	23464503
COG8|84342	chr16	69362524	69373526
COIL|8161	chr17	55015563	55038411
COL10A1|1300	chr6	116440086	116447296
COL11A1|1301	chr1	103342024	103574052
COL11A2|1302	chr6	33130469	33160245
COL12A1|1303	chr6	75794043	75915623
COL13A1|1305	chr10	71561644	71718903
COL14A1|7373	chr8	121137352	121384266
COL15A1|1306	chr9	101706138	101833068
COL16A1|1307	chr1	32117848	32169768
COL17A1|1308	chr10	105791048	105845638
COL18A1|80781	chr21	46825097	46933633
COL19A1|1310	chr6	70576448	70922157
COL1A1|1277	chr17	48261459	48279000
COL1A2|1278	chr7	94023873	94060544
COL20A1|57642	chr20	61924538	61962284
COL21A1|81578	chr6	55921389	56258892
COL22A1|169044	chr8	139600479	139926236
COL23A1|91522	chr5	177664617	178017556
COL24A1|255631	chr1	86194918	86622446
COL25A1|84570	chr4	109731878	110223799
COL27A1|85301	chr9	116918231	117072974
COL28A1|340267	chr7	7398244	7575460
COL29A1|256076	chr3	130064359	130203688
COL2A1|1280	chr12	48366749	48398285
COL3A1|1281	chr2	189839099	189877472
COL4A1|1282	chr13	110801311	110959496
COL4A2|1284	chr13	110959631	111165371
COL4A3BP|10087	chr5	74666929	74807806
COL4A3|1285	chr2	228029281	228179507
COL4A4|1286	chr2	227867435	228029275
COL4A5|1287	chr23	107683154	107940775
COL4A6|1288	chr23	107386780	107682704
COL5A1|1289	chr9	137533652	137736686
COL5A2|1290	chr2	189896642	190044605
COL5A3|50509	chr19	10070237	10121147
COL6A1|1291	chr21	47401663	47424963
COL6A2|1292	chr21	47518033	47552763
COL6A3|1293	chr2	238232655	238322850
COL6A4P2|646300	chr3	129931663	129992648
COL6A6|131873	chr3	130279178	130395887
COL7A1|1294	chr3	48601506	48632593
COL8A1|1295	chr3	99357454	99515158
COL8A2|1296	chr1	36560846	36565850
COL9A1|1297	chr6	70925744	71012786
COL9A2|1298	chr1	40766163	40783060
COL9A3|1299	chr20	61448414	61472510
COLEC10|10584	chr8	120079424	120119195
COLEC11|78989	chr2	3642637	3692045
COLEC12|81035	chr18	319356	500729
COLQ|8292	chr3	15491641	15563258
COMMD10|51397	chr5	115420727	115628978
COMMD1|150684	chr2	62132803	62363204
COMMD2|51122	chr3	149456260	149470278
COMMD3|23412	chr10	22605299	22609236
COMMD4|54939	chr15	75628374	75634268
COMMD5|28991	chr8	146065829	146126846
COMMD6|170622	chr13	76099350	76112938
COMMD7|149951	chr20	31290494	31331814
COMMD8|54951	chr4	47452815	47465676
COMMD9|29099	chr11	36291688	36310999
COMP|1311	chr19	18893584	18902114
COMTD1|118881	chr10	76993730	76995770
COMT|1312	chr22	19929263	19957496
COPA|1314	chr1	160258378	160313354
COPB1|1315	chr11	14479049	14521441
COPB2|9276	chr3	139076435	139108522
COPE|11316	chr19	19010324	19030199
COPG2|26958	chr7	130146080	130353598
COPG|22820	chr3	128968453	128996614
COPS2|9318	chr15	49417473	49447854
COPS3|8533	chr17	17150141	17184591
COPS4|51138	chr4	83956239	83996970
COPS5|10987	chr8	67955318	67974571
COPS6|10980	chr7	99686583	99689820
COPS7A|50813	chr12	6833150	6841039
COPS7B|64708	chr2	232646445	232673434
COPS8|10920	chr2	237994084	238007487
COPZ1|22818	chr12	54718911	54745633
COPZ2|51226	chr17	46103535	46115152
COQ10A|93058	chr12	56660642	56664748
COQ10B|80219	chr2	198318231	198339851
COQ2|27235	chr4	84182689	84205964
COQ3|51805	chr6	99817349	99842082
COQ4|51117	chr9	131084791	131096349
COQ5|84274	chr12	120941083	120966964
COQ6|51004	chr14	74416643	74429811
COQ7|10229	chr16	19078927	19091350
COQ9|57017	chr16	57481402	57495178
CORIN|10699	chr4	47596020	47840059
CORO1A|11151	chr16	30194926	30200396
CORO1B|57175	chr11	67205518	67211263
CORO1C|23603	chr12	109038889	109125295
CORO2A|7464	chr9	100883258	100954956
CORO2B|10391	chr15	68871573	69020142
CORO6|84940	chr17	27941774	27948441
CORO7|79585	chr16	4390253	4466962
CORT|1325	chr1	10509971	10511959
COTL1|23406	chr16	84599206	84651669
COX10|1352	chr17	13972719	14111992
COX11|1353	chr17	53029259	53046064
COX15|1355	chr10	101468507	101492423
COX16|51241	chr14	70791799	70826444
COX17|10063	chr3	119388372	119396243
COX18|285521	chr4	73920416	73935472
COX19|90639	chr7	1004486	1015235
COX4I1|1327	chr16	85833196	85840605
COX4I2|84701	chr20	30225691	30232800
COX4NB|10328	chr16	85812233	85833148
COX5A|9377	chr15	75212619	75230495
COX5B|1329	chr2	98262521	98264656
COX6A1|1337	chr12	120875904	120878529
COX6A2|1339	chr16	31439055	31439721
COX6B1|1340	chr19	36139155	36149683
COX6B2|125965	chr19	55861076	55866463
COX6C|1345	chr8	100890372	100905895
COX7A1|1346	chr19	36641824	36643771
COX7A2L|9167	chr2	42577647	42596150
COX7A2|1347	chr6	75947503	75953525
COX7B2|170712	chr4	46736849	46911252
COX7B|1349	chr23	77154961	77160881
COX7C|1350	chr5	85913784	85916581
COX8A|1351	chr11	63742079	63744014
COX8C|341947	chr14	93813537	93814700
CP110|9738	chr16	19535179	19564726
CPA1|1357	chr7	130020290	130027948
CPA2|1358	chr7	129906703	129929635
CPA3|1359	chr3	148583043	148614870
CPA4|51200	chr7	129932974	129964019
CPA5|93979	chr7	129984630	130008571
CPA6|57094	chr8	68334406	68658620
CPAMD8|27151	chr19	17003763	17137625
CPB1|1360	chr3	148545588	148577970
CPB2|1361	chr13	46627323	46679211
CPD|1362	chr17	28705984	28795699
CPEB1|64506	chr15	83211952	83316728
CPEB2|132864	chr4	15005522	15071774
CPEB3|22849	chr10	93808399	94050844
CPEB4|80315	chr5	173315331	173387312
CPE|1363	chr4	166300097	166419481
CPLX1|10815	chr4	778746	819945
CPLX2|10814	chr5	175223610	175311023
CPLX3|594855	chr15	75118951	75124136
CPLX4|339302	chr18	56962638	56985881
CPM|1368	chr12	69244958	69357020
CPN1|1369	chr10	101802065	101841642
CPN2|1370	chr3	194060495	194072057
CPNE1|8904	chr20	34213968	34262539
CPNE2|221184	chr16	57126510	57181876
CPNE3|8895	chr8	87526656	87573726
CPNE4|131034	chr3	131253584	132004254
CPNE5|57699	chr6	36708555	36807220
CPNE6|9362	chr14	24540046	24547295
CPNE7|27132	chr16	89642176	89663653
CPNE8|144402	chr12	39046002	39299420
CPNE9|151835	chr3	9745510	9771591
CPOX|1371	chr3	98298292	98312441
CPO|130749	chr2	207804278	207834198
CPPED1|55313	chr16	12753657	12897744
CPS1|1373	chr2	211342409	211543829
CPSF1|29894	chr8	145618447	145634733
CPSF2|53981	chr14	92588329	92630543
CPSF3L|54973	chr1	1246965	1260046
CPSF3|51692	chr2	9563868	9613227
CPSF4L|642843	chr17	71244588	71258019
CPSF4|10898	chr7	99036563	99054994
CPSF6|11052	chr12	69633317	69668137
CPSF7|79869	chr11	61170121	61197464
CPT1A|1374	chr11	68522091	68609399
CPT1B|1375	chr22	51007291	51017096
CPT1C|126129	chr19	50194401	50216988
CPT2|1376	chr1	53662101	53679867
CPVL|54504	chr7	29035249	29234892
CPXCR1|53336	chr23	88002226	88009783
CPXM1|56265	chr20	2774716	2781282
CPXM2|119587	chr10	125465729	125699779
CPZ|8532	chr4	8582291	8621486
CP|1356	chr3	148880570	148939832
CR1L|1379	chr1	207818458	207898053
CR1|1378	chr1	207669473	207815109
CR2|1380	chr1	207627670	207663238
CRABP1|1381	chr15	78632666	78640572
CRABP2|1382	chr1	156669410	156675375
CRADD|8738	chr12	94071151	94288616
CRAMP1L|57585	chr16	1664641	1736687
CRAT|1384	chr9	131857075	131873070
CRB1|23418	chr1	197170592	197447584
CRB2|286204	chr9	126118448	126141032
CRB3|92359	chr19	6463788	6467228
CRBN|51185	chr3	3191698	3221390
CRCP|27297	chr7	65579805	65619551
CRCT1|54544	chr1	152486978	152488480
CREB1|1385	chr2	208394616	208470282
CREB3L1|90993	chr11	46299228	46342970
CREB3L2|64764	chr7	137559727	137686846
CREB3L3|84699	chr19	4153629	4173047
CREB3L4|148327	chr1	153940379	153946832
CREB3|10488	chr9	35732317	35737004
CREB5|9586	chr7	28338940	28865509
CREBBP|1387	chr16	3775058	3930121
CREBL2|1389	chr12	12764831	12798041
CREBZF|58487	chr11	85368608	85376182
CREG1|8804	chr1	167510253	167523056
CREG2|200407	chr2	101964816	102003965
CRELD1|78987	chr3	9975506	9987088
CRELD2|79174	chr22	50312283	50321186
CREM|1390	chr10	35415801	35501885
CRHBP|1393	chr5	76248680	76265298
CRHR1|1394	chr17	43697712	43913193
CRHR2|1395	chr7	30692863	30739719
CRH|1392	chr8	67088619	67090698
CRIM1|51232	chr2	36583397	36778277
CRIP1|1396	chr14	105953257	105955122
CRIP2|1397	chr14	105939343	105946500
CRIP3|401262	chr6	43273211	43276530
CRIPAK|285464	chr4	1385340	1389782
CRIPT|9419	chr2	46844325	46852880
CRISP1|167	chr6	49801979	49834218
CRISP2|7180	chr6	49660072	49681299
CRISP3|10321	chr6	49695092	49712056
CRISPLD1|83690	chr8	75896843	75946791
CRISPLD2|83716	chr16	84853587	84943116
CRKL|1399	chr22	21271714	21308037
CRK|1398	chr17	1325460	1359544
CRLF1|9244	chr19	18704047	18717660
CRLF2|64109	chr23	1314887	1331530
CRLF3|51379	chr17	29109703	29151778
CRLS1|54675	chr20	5986739	6020694
CRMP1|1400	chr4	5749811	5894785
CRNKL1|51340	chr20	20015013	20036690
CRNN|49860	chr1	152381719	152386750
CROCCL1|84809	chr1	16944753	16971178
CROCCL2|114819	chr1	16793931	16819196
CROCC|9696	chr1	17066768	17299474
CROT|54677	chr7	86974951	87029112
CRP|1401	chr1	159682080	159684379
CRTAC1|55118	chr10	99624758	99790585
CRTAM|56253	chr11	122709255	122743345
CRTAP|10491	chr3	33155450	33189264
CRTC1|23373	chr19	18794425	18893142
CRTC2|200186	chr1	153920154	153931043
CRTC3|64784	chr15	91073198	91188576
CRX|1406	chr19	48325099	48346584
CRY1|1407	chr12	107385143	107487598
CRY2|1408	chr11	45868669	45904797
CRYAA|1409	chr21	44589141	44592913
CRYAB|1410	chr11	111779350	111782473
CRYBA1|1411	chr17	27573875	27581500
CRYBA2|1412	chr2	219854912	219858127
CRYBA4|1413	chr22	27017928	27026635
CRYBB1|1414	chr22	26995362	27013991
CRYBB2|1415	chr22	25615612	25627836
CRYBB3|1417	chr22	25595825	25603324
CRYBG3|131544	chr3	97595819	97663810
CRYGA|1418	chr2	209025465	209028297
CRYGB|1419	chr2	209007298	209010877
CRYGC|1420	chr2	208992863	208994554
CRYGD|1421	chr2	208986332	208989313
CRYGN|155051	chr7	151127057	151137899
CRYGS|1427	chr3	186256233	186264491
CRYL1|51084	chr13	20977809	21100012
CRYM|1428	chr16	21250195	21314417
CRYZL1|9946	chr21	34961650	35014160
CRYZ|1429	chr1	75171175	75199092
CSAD|51380	chr12	53551448	53575135
CSAG1|158511	chr23	151903228	151909516
CSAG2|728461	chr23	151922445	151928737
CSAG3|389903	chr23	151876744	151883038
CSDAP1|440359	chr16	31579088	31580845
CSDA|8531	chr12	10851678	10875953
CSDC2|27254	chr22	41957014	41972670
CSDE1|7812	chr1	115259538	115300671
CSE1L|1434	chr20	47662838	47713484
CSF1R|1436	chr5	149432855	149492935
CSF1|1435	chr1	110453233	110472354
CSF2RA|1438	chr23	1387693	1428828
CSF2RB|1439	chr22	37309675	37336477
CSF2|1437	chr5	131409485	131411858
CSF3R|1441	chr1	36931644	36948509
CSF3|1440	chr17	38171688	38174065
CSGALNACT1|55790	chr8	19261673	19615382
CSGALNACT2|55454	chr10	43633934	43680747
CSH1|1442	chr17	61972273	61973987
CSH2|1443	chr17	61949373	61973987
CSHL1|1444	chr17	61986965	61988618
CSK|1445	chr15	75074425	75095539
CSMD1|64478	chr8	2792876	4852328
CSMD2|114784	chr1	33979609	34631443
CSMD3|114788	chr8	113235161	114449242
CSN1S1|1446	chr4	70796799	70812288
CSN1S2A|286828	chr4	70933103	70950986
CSN2|1447	chr4	70820975	70826726
CSN3|1448	chr4	71108333	71117143
CSNK1A1L|122011	chr13	37677397	37679801
CSNK1A1P|161635	chr15	37091302	37110707
CSNK1A1|1452	chr5	148872949	148931007
CSNK1D|1453	chr17	80197653	80231573
CSNK1E|1454	chr22	38686698	38794527
CSNK1G1|53944	chr15	64457718	64665968
CSNK1G2|1455	chr19	1941161	1981334
CSNK1G3|1456	chr5	122847793	122952462
CSNK2A1P|283106	chr11	11373323	11374904
CSNK2A1|1457	chr20	463338	524482
CSNK2A2|1459	chr16	58191816	58231782
CSNK2B|1460	chr6	31633657	31640227
CSPG4PY2|84664	chr24	27629055	27632852
CSPG4|1464	chr15	75966664	76005189
CSPG5|10675	chr3	47603729	47621730
CSPP1|79848	chr8	67976603	68108494
CSRNP1|64651	chr3	39183344	39196053
CSRNP2|81566	chr12	51454990	51477333
CSRNP3|80034	chr2	166326157	166537203
CSRP1|1465	chr1	201452660	201476387
CSRP2BP|57325	chr20	18118527	18169015
CSRP2|1466	chr12	77252496	77272799
CSRP3|8048	chr11	19203578	19223589
CST11|140880	chr20	23431041	23433482
CST1|1469	chr20	23728191	23731574
CST2|1470	chr20	23804404	23807312
CST3|1471	chr20	23608536	23618574
CST4|1472	chr20	23666277	23669662
CST5|1473	chr20	23856572	23860380
CST6|1474	chr11	65778955	65780975
CST7|8530	chr20	24929866	24940562
CST8|10047	chr20	23471766	23476655
CST9L|128821	chr20	23545372	23549386
CST9|128822	chr20	23583049	23586610
CSTA|1475	chr3	122044011	122060813
CSTB|1476	chr21	45193832	45196259
CSTF1|1477	chr20	54967427	54979582
CSTF2T|23283	chr10	53455247	53459355
CSTF2|1478	chr23	100075348	100095921
CSTF3|1479	chr11	33106135	33183037
CSTL1|128817	chr20	23420322	23425566
CSTT|164380	chr20	23499783	23522653
CS|1431	chr12	56665483	56694175
CT45A1|541466	chr23	134847185	134856987
CT45A2|728911	chr23	134866214	134874247
CT45A3|441519	chr23	134883488	134891518
CT45A4|441520	chr23	134866214	134891518
CT45A5|441521	chr23	134945965	134971244
CT45A6|541465	chr23	134963216	134971244
CT47A10|728036	chr23	120082278	120085594
CT47A11|255313	chr23	120011347	120066151
CT47A1|728096	chr23	120011347	120066151
CT47A2|728090	chr23	120067697	120071012
CT47A6|728062	chr23	120092022	120095337
CT47A7|653282	chr23	120087139	120090454
CT47A9|728042	chr23	120072558	120075873
CT47B1|643311	chr23	120006454	120009779
CT62|196993	chr15	71402583	71407839
CTAG1B|1485	chr23	153813418	153815074
CTAG2|30848	chr23	153880251	153881842
CTAGE1|64693	chr18	19993564	19997878
CTAGE4|100128553	chr7	143880548	143883171
CTAGE5|4253	chr14	39734476	39820395
CTAGE6|340307	chr7	143452184	143454843
CTAGE9|643854	chr6	132029583	132032157
CTBP1|1487	chr4	1205228	1242908
CTBP2|1488	chr10	126676419	126849624
CTBS|1486	chr1	85018804	85040163
CTCFL|140690	chr20	56063880	56100708
CTCF|10664	chr16	67596464	67673087
CTDP1|9150	chr18	77439801	77514507
CTDSP1|58190	chr2	219264478	219270663
CTDSP2|10106	chr12	58213712	58240747
CTDSPL2|51496	chr15	44719579	44819427
CTDSPL|10217	chr3	37903669	38025959
CTF1|1489	chr16	30907928	30914880
CTGF|1490	chr6	132269319	132272518
CTHRC1|115908	chr8	104383786	104395215
CTH|1491	chr1	70876955	70905252
CTLA4|1493	chr2	204732509	204738683
CTNNA1|1495	chr5	138089107	138270722
CTNNA2|1496	chr2	79412357	80875904
CTNNA3|29119	chr10	67679725	69455949
CTNNAL1|8727	chr9	111704851	111775764
CTNNB1|1499	chr3	41236401	41281939
CTNNBIP1|56998	chr1	9908334	9970316
CTNNBL1|56259	chr20	36322434	36500519
CTNND1|1500	chr11	57480042	57586651
CTNND2|1501	chr5	10971952	11904110
CTNS|1497	chr17	3539762	3566396
CTPS2|56474	chr23	16606124	16731059
CTPS|1503	chr1	41445007	41478231
CTR9|9646	chr11	10772811	10801290
CTRB1|1504	chr16	75252884	75258821
CTRB2|440387	chr16	75237995	75241072
CTRC|11330	chr1	15764938	15773153
CTRL|1506	chr16	67963474	67965765
CTSA|5476	chr20	44519591	44527456
CTSB|1508	chr8	11700036	11725646
CTSC|1075	chr11	88026761	88070941
CTSD|1509	chr11	1773985	1785222
CTSE|1510	chr1	206317459	206332103
CTSF|8722	chr11	66330936	66336047
CTSG|1511	chr14	25042725	25045466
CTSH|1512	chr15	79214092	79237420
CTSK|1513	chr1	150768687	150780812
CTSL1|1514	chr9	90340974	90346382
CTSL2|1515	chr9	99794940	99822167
CTSL3|392360	chr9	90387830	90401799
CTSO|1519	chr4	156845276	156875048
CTSS|1520	chr1	150702554	150738305
CTSW|1521	chr11	65647284	65651212
CTSZ|1522	chr20	57570242	57582309
CTTNBP2NL|55917	chr1	112938800	113006063
CTTNBP2|83992	chr7	117350708	117513561
CTTN|2017	chr11	70244612	70282689
CTU1|90353	chr19	51600864	51611647
CTU2|348180	chr16	88772891	88781784
CTXN1|404217	chr19	7989382	7991051
CTXN2|399697	chr15	48483867	48495951
CTXN3|613212	chr5	126984713	126994321
CUBN|8029	chr10	16865966	17171816
CUEDC1|404093	chr17	55940337	56032684
CUEDC2|79004	chr10	104183002	104192423
CUL1|8454	chr7	148395006	148498201
CUL2|8453	chr10	35298808	35379546
CUL3|8452	chr2	225334869	225450110
CUL4A|8451	chr13	113863086	113919391
CUL4B|8450	chr23	119658448	119709684
CUL5|8065	chr11	107879408	107978484
CUL7|9820	chr6	43005356	43021654
CUL9|23113	chr6	43149922	43192324
CUTA|51596	chr6	33384319	33386065
CUTC|51076	chr10	101491958	101515893
CUX1|1523	chr7	101459292	101927249
CUX2|23316	chr12	111471829	111788356
CUZD1|50624	chr10	124591675	124639157
CWC15|51503	chr11	94695789	94706776
CWC22|57703	chr2	180809604	180871840
CWC25|54883	chr17	36957447	36981608
CWC27|10283	chr5	64064755	64314590
CWF19L1|55280	chr10	101992055	102027437
CWF19L2|143884	chr11	107197074	107328572
CWH43|80157	chr4	48988265	49064093
CX3CL1|6376	chr16	57406414	57418954
CX3CR1|1524	chr3	39304986	39321527
CXADRP2|646243	chr15	22014420	22016878
CXADRP3|440224	chr18	14477956	14498705
CXADR|1525	chr21	18885330	18965897
CXCL10|3627	chr4	76942273	76944650
CXCL11|6373	chr4	76954842	76957233
CXCL12|6387	chr10	44865607	44880542
CXCL13|10563	chr4	78432907	78532986
CXCL14|9547	chr5	134906373	134914969
CXCL16|58191	chr17	4636830	4643223
CXCL17|284340	chr19	42932696	42947136
CXCL1|2919	chr4	74735109	74736953
CXCL2|2920	chr4	74962764	74964997
CXCL3|2921	chr4	74902314	74904490
CXCL5|6374	chr4	74861360	74864416
CXCL6|6372	chr4	74702273	74704476
CXCL9|4283	chr4	76922623	76928641
CXCR1|3577	chr2	219027570	219031716
CXCR2P1|3580	chr2	218923879	218926013
CXCR2|3579	chr2	218989998	219001975
CXCR3|2833	chr23	70835767	70838367
CXCR4|7852	chr2	136871920	136875725
CXCR5|643	chr11	118754541	118766970
CXCR6|10663	chr3	45984973	45989845
CXCR7|57007	chr2	237469424	237490992
CXXC1|30827	chr18	47808715	47814692
CXXC4|80319	chr4	105393345	105416058
CXXC5|51523	chr5	139028301	139062680
CXorf1|9142	chr23	144908928	144911368
CXorf21|80231	chr23	30576941	30595914
CXorf22|170063	chr23	35937858	36008268
CXorf23|256643	chr23	19931204	19988382
CXorf26|51260	chr23	75392771	75398033
CXorf27|25763	chr23	37850070	37850569
CXorf30|645090	chr23	36254051	36403433
CXorf36|79742	chr23	45007618	45060146
CXorf38|159013	chr23	40488285	40506806
CXorf40A|91966	chr23	148622283	148632055
CXorf40B|541578	chr23	149097723	149106716
CXorf41|139212	chr23	106449862	106487472
CXorf42|158801	chr23	119370311	119379122
CXorf48|54967	chr23	134290461	134305751
CXorf49B|100132994	chr23	70983140	70987050
CXorf50B|653687	chr23	72161569	72163589
CXorf51|100129239	chr23	145891302	145891924
CXorf56|63932	chr23	118673501	118699364
CXorf57|55086	chr23	105855160	105922670
CXorf58|254158	chr23	23926123	23957624
CXorf59|286464	chr23	36065053	36163187
CXorf61|203413	chr23	115592852	115594137
CXorf64|100130613	chr23	125953747	125955766
CXorf65|158830	chr23	70323839	70326420
CXorf66|347487	chr23	139037885	139047677
CYB561D1|284613	chr1	110036658	110043062
CYB561D2|11068	chr3	50388289	50391494
CYB561|1534	chr17	61509666	61523722
CYB5A|1528	chr18	71920528	71959221
CYB5B|80777	chr16	69458498	69500167
CYB5D1|124637	chr17	7761064	7765598
CYB5D2|124936	chr17	4046462	4060989
CYB5R1|51706	chr1	202931001	202936404
CYB5R2|51700	chr11	7686327	7694994
CYB5R3|1727	chr22	43014814	43045405
CYB5R4|51167	chr6	84569370	84670144
CYB5RL|606495	chr1	54638029	54665746
CYBASC3|220002	chr11	61116222	61129755
CYBA|1535	chr16	88709698	88717457
CYBB|1536	chr23	37639270	37672714
CYBRD1|79901	chr2	172378866	172414643
CYC1|1537	chr8	145149942	145152427
CYCSP52|360155	chr1	157098154	157098461
CYCS|54205	chr7	25158277	25164955
CYFIP1|23191	chr15	22892684	23003602
CYFIP2|26999	chr5	156693091	156822604
CYGB|114757	chr17	74523440	74547168
CYHR1|50626	chr8	145675315	145691031
CYLC1|1538	chr23	83116154	83141626
CYLC2|1539	chr9	105757593	105780770
CYLD|1540	chr16	50775961	50835846
CYMP|643160	chr1	111016378	111033891
CYP11A1|1583	chr15	74630103	74660081
CYP11B1|1584	chr8	143953774	143961236
CYP11B2|1585	chr8	143991975	143999259
CYP17A1|1586	chr10	104590290	104597290
CYP19A1|1588	chr15	51500255	51630795
CYP1A1|1543	chr15	75011884	75017877
CYP1A2|1544	chr15	75041184	75048941
CYP1B1|1545	chr2	38294746	38303323
CYP20A1|57404	chr2	204103164	204170562
CYP21A2|1589	chr6	31973357	31976684
CYP24A1|1591	chr20	52769988	52790516
CYP26A1|1592	chr10	94833232	94837641
CYP26B1|56603	chr2	72356367	72374963
CYP26C1|340665	chr10	94821021	94828453
CYP27A1|1593	chr2	219646472	219680015
CYP27B1|1594	chr12	58156117	58160976
CYP27C1|339761	chr2	127941412	127963343
CYP2A13|1553	chr19	41594368	41602098
CYP2A6|1548	chr19	41349444	41356352
CYP2A7|1549	chr19	41381345	41534168
CYP2B6|1555	chr19	41497204	41524301
CYP2B7P1|1556	chr19	41430170	41456563
CYP2C18|1562	chr10	96443251	96495945
CYP2C19|1557	chr10	96447882	96612670
CYP2C8|1558	chr10	96796530	96829254
CYP2C9|1559	chr10	96698415	96749147
CYP2D6|1565	chr22	42522502	42526883
CYP2D7P1|1564	chr22	42536216	42540575
CYP2E1|1571	chr10	135340867	135374724
CYP2F1|1572	chr19	41620353	42069295
CYP2J2|1573	chr1	60358981	60392423
CYP2R1|120227	chr11	14899558	14913751
CYP2S1|29785	chr19	41699115	41713443
CYP2U1|113612	chr4	108852717	108874611
CYP2W1|54905	chr7	1022835	1029276
CYP39A1|51302	chr6	46517445	46620523
CYP3A43|64816	chr7	99425636	99464173
CYP3A4|1576	chr7	99354604	99381808
CYP3A5|1577	chr7	99245818	99332821
CYP3A7|1551	chr7	99302661	99332821
CYP46A1|10858	chr14	100150755	100193637
CYP4A11|1579	chr1	47394848	47407156
CYP4A22|284541	chr1	47603107	47614526
CYP4B1|1580	chr1	47264670	47285020
CYP4F11|57834	chr19	16023180	16045676
CYP4F12|66002	chr19	15783886	15807984
CYP4F22|126410	chr19	15619336	15663127
CYP4F2|8529	chr19	15988834	16008884
CYP4F3|4051	chr19	15751707	15771569
CYP4F8|11283	chr19	15726029	15740445
CYP4V2|285440	chr4	187112674	187134616
CYP4X1|260293	chr1	47427036	47516422
CYP4Z1|199974	chr1	47533160	47583992
CYP4Z2P|163720	chr1	47323906	47366147
CYP51A1|1595	chr7	91741464	91808845
CYP7A1|1581	chr8	59402738	59412720
CYP7B1|9420	chr8	65508529	65711348
CYP8B1|1582	chr3	42897498	42917633
CYR61|3491	chr1	86046444	86049646
CYS1|192668	chr2	10196926	10220538
CYSLTR1|10800	chr23	77528131	77583087
CYSLTR2|57105	chr13	49227865	49283498
CYTH1|9267	chr17	76670131	76778376
CYTH2|9266	chr19	48972465	48985570
CYTH3|9265	chr7	6201414	6312242
