gene	met.row	expr.row	count
SLC29A4	5203	16253	2
LPCAT3	5204	10221	2
HIP1	5205	7816	2
RPLP0	5206	15254	1
PDCD7	5208	13131	2
SSU72	5211	17294	2
FAM123C	5212	5902	2
KCNJ11	5213	8797	2
AQP8	5214	895	2
CARD14	5215	2970	2
THG1L	5216	17979	2
CASQ2	5217	3007	2
WRNIP1	5219	19631	2
KCNJ1	5220	8803	2
NRIP2	5221	12114	2
DEK	5223	4842	2
CCND1	5224	3252	16
CD48	5225	3357	2
SLC8A3	5226	16428	2
UCP2	5227	19131	1
GLRA2	5228	7090	1
C9orf25	5230	2789	5
C9orf24	5230	2788	2
PRAME	5231	13998	1
LOC648691	5231	10111	1
C4orf10	5232	2509	1
MFSD10	5232	10864	2
CNTN6	5233	4010	2
PGM1	5234	13310	2
RPF2	5235	15180	2
SEPT12	5236	15760	2
ETV7	5237	5756	2
ERF	5238	5693	2
ORC4L	5239	12743	2
TLN1	5240	18068	3
CREB3	5240	4226	3
ZNF560	5241	20247	2
CELA2A	5242	3558	2
WT1	5243	19637	20
ZW10	5244	20519	2
ZNF205	5245	20008	2
MGC3771	5245	10906	2
DLC1	5246	4987	2
RFC5	5247	14860	2
CLCN6	5248	3825	7
MTHFR	5248	11306	7
EGR1	5249	5433	2
BNIP3L	5250	1565	1
FOXP2	5251	6636	1
ZNF202	5252	20006	2
C17orf59	5253	2024	2
MTDH	5254	11292	2
KRTDAP	5256	9362	2
KLK14	5257	9173	2
RPSA	5258	15322	2
FECH	5259	6347	2
STRAP	5260	17426	2
NTHL1	5262	12161	2
TSC2	5262	18765	4
GSTP1	5263	7505	6
SLC39A2	5264	16335	2
C18orf34	5265	2073	2
KSR1	5266	9363	1
LILRB2	5267	9577	2
LCE5A	5268	9458	2
LDLR	5269	9492	2
ZNF177	5270	19990	2
FCAR	5273	6310	1
SH2B2	5274	15936	2
SYN1	5276	17545	4
SLC39A14	5277	16333	2
DCT	5278	4725	1
WARS2	5279	19468	1
CEBPZ	5280	3550	3
C2orf56	5280	2418	3
CYTH4	5281	4612	2
SYN3	5282	17547	5
TIMP3	5282	18040	3
STARD7	5283	17360	2
ZNF165	5285	19984	1
TAGAP	5286	17643	2
RNGTT	5287	15128	2
LOC91316	5288	10187	2
RGL4	5288	14895	2
IRX5	5289	8599	2
RND2	5290	15039	2
DCAF13	5291	4679	2
SLC25A32	5291	16211	2
NCRNA00175	5292	11671	2
COL18A1	5292	4040	4
GALM	5293	6825	1
SLC2A4RG	5294	16262	2
ADNP	5295	365	2
CNOT10	5297	3981	1
DNAJC18	5298	5080	6
TTC26	5299	18856	2
ABCA1	5300	65	2
FBXW7	5301	6306	2
KLHL11	5302	9136	2
SYN3	5303	17547	5
TIMP3	5303	18040	3
C12orf11	5304	1791	2
FGFR1OP2	5304	6403	2
RBBP5	5305	14700	2
C3orf24	5306	2465	2
AATK	5307	58	4
FANCG	5308	6202	2
TRIM27	5309	18647	2
PSMD8	5310	14282	2
KLK13	5311	9172	2
MYL4	5312	11430	1
EXD2	5313	5770	2
STX6	5314	17449	1
FABP1	5315	5830	2
AACS	5316	41	2
RPE	5317	15178	2
KDSR	5318	8896	2
ZNF273	5319	20056	2
ADARB2	5320	322	2
C12orf5	5321	1821	2
ARMC8	5322	1026	2
PIGL	5323	13408	2
ANXA5	5324	777	2
MAPK3	5325	10603	2
GSDMC	5326	7478	2
BBS7	5327	1418	2
KIAA0907	5328	8962	2
SEMA4G	5329	15735	2
TMEM151A	5330	18194	2
LAMB2	5331	9394	2
HAP1	5332	7627	2
RBM41	5333	14733	2
ZPBP2	5334	20489	1
SCN7A	5335	15614	2
C1orf65	5336	2250	2
C15orf57	5337	1951	2
NDEL1	5338	11692	2
JAG2	5339	8687	2
APOB	5340	856	2
C13orf1	5341	1841	2
IFIT5	5342	8266	2
CALML4	5343	2910	2
CCDC85B	5344	3192	2
EIF1AX	5345	5453	2
HYAL4	5346	8203	2
TMEM59	5347	18318	9
C1orf83	5347	2257	9
SYNC	5349	17549	2
C7orf45	5350	2685	2
MDFI	5351	10736	2
HSPB9	5352	8156	3
LASS4	5353	9424	2
ZC3H10	5354	19797	2
SCRG1	5355	15627	2
TBCD	5356	17744	4
TNFSF14	5357	18440	2
SPARCL1	5358	17077	2
PITPNB	5359	13469	2
LOC284900	5359	9909	2
C1orf127	5360	2174	2
LEF1	5361	9498	2
ZNF317	5362	20083	1
CYP4F2	5363	4594	2
RTEL1	5364	15382	2
STXBP5	5366	17457	2
PYCARD	5367	14444	6
UTP20	5368	19306	2
IRX5	5369	8599	2
PTPRG	5370	14386	1
DEPDC6	5372	4861	2
LPCAT1	5373	10219	2
LOXL2	5374	10207	2
TM9SF1	5375	18098	2
RNF141	5376	15064	2
PFDN5	5377	13270	2
SYT6	5378	17585	2
TMBIM6	5379	18104	1
RBM15	5380	14715	2
ALS2CL	5381	598	1
NFASC	5382	11811	2
KCNS2	5385	8844	2
ZDHHC15	5386	19842	2
WDR31	5387	19510	2
PNMA3	5388	13689	2
FPR1	5389	6647	2
GIT1	5390	7031	2
ARHGEF10L	5391	958	1
STOML3	5392	17414	2
KCNJ6	5393	8808	2
C1orf94	5394	2267	4
CSMD2	5394	4316	2
HMGXB3	5395	7950	2
TIGD6	5395	18022	2
PHB2	5396	13328	4
EMG1	5396	5557	4
GPR109B	5397	7279	1
TMEM51	5398	18309	4
BCL7B	5399	1457	2
STAT2	5400	17364	2
KBTBD10	5401	8741	1
PPIC	5402	13868	2
TACR3	5403	17613	2
DIRAS3	5405	4956	14
OR6A2	5406	12661	2
DCAF17	5407	4682	2
METTL8	5407	10843	3
HSF2	5408	8119	2
TMEM155	5410	18197	2
LOC100192379	5410	9755	2
PGRMC1	5411	13319	2
MICB	5412	10935	1
SNRPB	5413	16940	2
TRIP10	5415	18706	2
FAM134C	5416	5925	2
TUBG1	5416	18953	2
ICK	5417	8223	2
SNAI1	5418	16553	2
C2orf48	5419	2410	2
RWDD2B	5420	15419	2
TEX261	5421	17898	2
CCNG2	5422	3260	2
CLPTM1	5423	3917	1
CLTA	5424	3927	2
PRSS3	5426	14200	2
C9orf6	5427	2810	4
IKBKAP	5427	8352	4
SLC10A7	5429	16094	2
NUDT6	5430	12207	3
SPATA5	5430	17096	3
ENPP1	5431	5599	2
KCNQ1	5433	8837	23
PIGX	5434	13420	1
C3orf34	5434	2472	1
DCC	5435	4695	11
AKAP13	5436	493	2
NOG	5437	11976	2
FAM163A	5438	5964	2
ABHD6	5439	123	2
COPS7B	5440	4105	2
ALPI	5441	591	1
CDCA7	5442	3431	2
TLR4	5443	18074	2
PRKAB1	5444	14057	2
ARHGAP1	5445	932	3
ZNF408	5445	20139	3
ICA1	5446	8217	3
RNF41	5447	15117	3
CD164L2	5448	3306	2
PRKCB	5449	14070	2
KCNE1L	5450	8774	2
CYB5B	5451	4524	2
TRIM69	5452	18692	2
KIAA0196	5453	8923	4
NSMCE2	5453	12137	2
IVL	5454	8681	2
GDF2	5455	6943	2
MGC16703	5456	10896	2
P2RX6	5456	12827	2
KCNIP3	5457	8794	2
FUT6	5458	6724	2
TM4SF19	5459	18088	2
HDAC11	5460	7698	6
ZNF721	5461	20379	3
ABCA11P	5461	61	2
GTF3C6	5462	7541	2
BCL7A	5463	1456	2
SYS1	5464	17570	2
SYS1-DBNDD2	5464	17569	4
BMS1	5465	1559	2
DDX19A	5466	4760	2
NUDCD3	5467	12186	2
ZG16B	5469	19915	2
ABI2	5470	126	2
ZNF143	5471	19976	2
CKS2	5472	3811	2
ZNF689	5473	20350	2
GOSR2	5474	7230	2
SLC7A9	5475	16425	2
ACADM	5476	150	2
DGCR6	5477	4884	1
CDC42EP3	5478	3415	2
RYR1	5479	15431	2
CSTF1	5480	4358	4
AURKA	5480	1301	4
HIST1H4B	5481	7866	2
SULT4A1	5482	17484	2
CADM4	5483	2889	2
OSTalpha	5484	12781	2
ADAMTSL5	5485	318	2
BOD1L	5486	1569	2
FOXRED2	5487	6643	1
BCL10	5488	1440	2
KIAA1804	5489	9026	2
DMWD	5490	5036	3
UTP14C	5492	19303	2
ALG11	5492	558	4
ATP6V0C	5493	1246	2
GNB3	5494	7158	2
SNRNP70	5495	16936	2
CTNNAL1	5496	4405	2
SERPINA12	5497	15791	2
C20orf196	5498	2301	1
EPHX3	5499	5652	1
TUB	5500	18960	2
RNF121	5501	15050	2
PPP1R8	5503	13931	2
VEGFB	5504	19359	2
PRKAA2	5505	14056	2
FTSJ1	5506	6702	2
RUFY1	5507	15400	2
CAMK4	5508	2927	2
SRC	5509	17227	2
FAM188A	5510	6011	2
NAALAD2	5511	11510	2
TSKS	5512	18783	2
TRA2A	5513	18577	5
HIPK3	5514	7819	2
ST8SIA2	5515	17330	2
DKFZP686I15217	5517	4973	2
CRTC1	5518	4268	2
C4orf14	5519	2512	3
NXNL2	5520	12254	2
C4orf34	5521	2524	1
INTS6	5522	8530	2
PNPLA4	5523	13701	2
ZNF667	5524	20330	2
CR2	5525	4209	2
VCL	5526	19346	2
RGS9	5528	14930	2
MED12	5529	10760	2
PLEKHF1	5530	13588	2
UGT3A1	5531	19161	2
TFDP1	5532	17915	2
SGTA	5533	15933	2
STAP2	5534	17352	2
ST6GALNAC6	5535	17322	2
MAEA	5536	10472	2
NAA38	5539	11506	1
PITX2	5540	13476	2
VLDLR	5541	19384	2
FLJ35024	5541	6492	2
MYO5A	5542	11460	2
MFN2	5543	10861	2
LMTK2	5544	9650	2
ZFP161	5545	19879	2
FXR2	5546	6732	2
SHBG	5546	15977	6
TOM1	5547	18487	2
PDE3B	5548	13145	4
PSMA1	5548	14244	4
CHST4	5549	3761	2
POLL	5550	13741	3
C1S	5551	2153	2
NOL3	5552	11980	2
MAPK1	5553	10602	2
OTUD4	5554	12796	3
TXNDC2	5555	18989	2
VAC14	5556	19318	2
ABCB10	5557	74	1
HIST1H1D	5558	7826	2
RAB3D	5559	14526	2
REN	5560	14835	1
TM4SF19	5561	18088	2
ZFHX3	5562	19874	2
CCL26	5563	3232	2
GNASAS	5564	7148	12
GNAS	5564	7149	29
CDKN1C	5565	3500	8
CPEB2	5566	4165	1
CLDND2	5567	3853	2
SP140	5568	17041	2
C6orf204	5569	2633	2
AADAC	5570	45	1
GALNT6	5571	6837	2
MLL5	5572	10986	2
LOC100216545	5572	9758	2
BID	5573	1515	1
LCORL	5574	9473	2
LOC388428	5575	9981	2
AATK	5575	58	4
C3orf52	5576	2486	2
TRAPPC2	5577	18604	4
OFD1	5577	12304	4
ZNF394	5578	20130	2
TROVE2	5579	18728	2
UCHL5	5579	19121	2
PAPD4	5580	12915	2
ARR3	5582	1048	2
NUP93	5584	12237	2
C1orf89	5585	2263	1
HOXC12	5586	8027	2
PLD6	5587	13573	2
CD69	5588	3368	1
NUPR1	5590	12241	2
LIMK1	5591	9588	2
ARMCX6	5593	1032	1
GALNT12	5595	6829	2
TIGD1	5596	18017	2
EIF4E2	5596	5494	2
ACO2	5597	184	2
PHF5A	5597	13351	2
INGX	5598	8485	2
BCYRN1	5598	1470	15
ARRDC4	5599	1054	2
LPPR4	5600	10235	2
FAM113B	5601	5880	2
LOC100233209	5601	9759	2
MOG	5602	11062	2
DHRS12	5604	4909	1
ZFYVE16	5605	19905	1
SETD3	5606	15836	2
CCNK	5606	3266	2
TIMM44	5607	18033	3
RIPK2	5608	14998	2
KISS1	5609	9099	2
KCNG3	5610	8782	2
GMFG	5611	7128	2
CSNK1A1	5612	4324	2
TMEM168	5613	18209	2
C1orf93	5614	2266	1
NSMCE4A	5615	12138	2
DPH5	5616	5169	1
ACR	5618	209	2
CRYGC	5619	4285	2
RET	5620	14849	2
ZNF117	5621	19961	2
APOD	5622	862	2
CRISPLD1	5623	4249	2
CTNNA3	5624	4404	4
LRRTM3	5624	10357	2
KIAA1984	5625	9035	2
PRKCDBP	5626	14071	4
SLC10A1	5627	16088	2
TNFRSF10C	5628	18415	6
CDH7	5629	3455	2
SCFD1	5630	15579	2
CXCL3	5631	4480	2
CIB1	5632	3775	2
C15orf58	5632	1952	2
SEC63	5633	15704	2
SLFNL1	5634	16460	2
CALU	5635	2916	2
LIN7A	5636	9599	1
CHRNA1	5637	3737	2
PFDN2	5638	13268	4
NIT1	5638	11887	4
UBXN4	5639	19114	2
SAPS3	5640	15502	2
SLC39A2	5641	16335	2
C1orf52	5642	2239	2
ASB11	5643	1085	2
PSMD2	5644	14276	2
KCNQ1DN	5645	8835	6
VAMP8	5646	19325	2
RNASEH2A	5647	15031	2
OPTC	5648	12354	2
TUBGCP2	5649	18955	4
ZNF511	5649	20208	4
FCER1G	5650	6312	2
C4BPB	5651	2508	1
IGFBP1	5652	8321	2
GABBR1	5653	6772	2
MOS	5654	11083	2
GPD1L	5655	7258	2
PER2	5657	13241	2
IGFN1	5658	8333	2
TUBE1	5659	18952	2
C6orf225	5659	2641	2
RAB34	5660	14516	3
FAM103A1	5661	5859	2
SLC12A9	5662	16105	2
TRIP12	5664	18708	3
FBXO36	5664	6281	2
LARGE	5665	9410	2
MAN1C1	5666	10537	2
CCRL2	5667	3286	2
LYSMD2	5668	10444	3
P4HA3	5669	12841	2
SLC20A1	5670	16153	2
GEMIN8	5671	6963	2
OR3A3	5672	12509	1
AHCY	5673	456	2
C21orf99	5674	2362	1
SLC30A2	5675	16271	2
KCNC4	5676	8770	2
UBE2L6	5678	19059	2
TRIM28	5679	18648	2
USP13	5680	19246	2
MAP2K3	5681	10561	2
MEPE	5682	10813	2
BPGM	5683	1578	2
FGD4	5684	6375	1
DR1	5685	5202	2
CIDEC	5686	3783	2
DAB2IP	5687	4625	9
MRTO4	5688	11220	4
KIAA0090	5688	8913	4
TNRC6A	5689	18473	1
SPATA5L1	5690	17095	2
PRRG2	5691	14178	4
NOSIP	5691	12002	2
PML	5692	13662	1
C11orf52	5693	1758	2
FAR2	5694	6209	2
PDLIM2	5695	13188	2
CERK	5696	3618	2
PRKAR2A	5697	14067	2
ARSF	5698	1060	1
CCL22	5699	3228	2
PPP1R15B	5701	13913	2
WNT10A	5702	19610	2
SUCNR1	5703	17466	1
PDK1	5704	13183	2
SNX18	5705	16966	2
CAMLG	5706	2931	2
SLC31A2	5707	16280	2
SAMM50	5708	15493	2
MEG3	5709	10792	7
GALNT14	5710	6831	2
LATS2	5711	9429	2
GALNT1	5712	6832	2
CDC40	5713	3409	2
WASF1	5713	19470	2
SYT2	5714	17581	2
USMG5	5715	19241	2
PDCD11	5715	13122	2
LOC55908	5716	10061	2
DOCK6	5716	5137	2
TMEM85	5717	18341	2
SVOPL	5718	17527	1
ACTR1B	5719	247	2
SAMD7	5720	15488	2
NLGN1	5721	11917	1
CYP4F12	5722	4592	2
SLC5A8	5723	16388	7
TEKT4	5724	17870	1
PHKG1	5725	13361	2
SDF2L1	5726	15654	2
SEPT5	5727	15766	4
C12orf48	5728	1810	2
C6orf47	5729	2649	2
IL4R	5730	8440	2
BEGAIN	5731	1480	2
GINS3	5733	7024	1
DUSP2	5734	5279	2
EI24	5735	5447	2
LDHC	5736	9486	2
ODC1	5737	12291	2
SEMA3A	5738	15723	1
MLF1	5739	10978	2
MYH7	5740	11421	2
TKTL2	5741	18056	2
CCDC62	5742	3164	2
WDR89	5743	19561	1
KIF23	5745	9060	2
DGAT2L6	5746	4876	2
CGNL1	5747	3656	2
PTPRCAP	5748	14381	2
TSGA14	5749	18776	2
TCEB1	5750	17791	2
HNRNPA1	5751	7971	4
CBX5	5751	3048	3
GAB1	5752	6764	2
FRMD4A	5753	6663	2
COLEC10	5754	4076	2
PMPCB	5755	13668	2
CDKN1A	5756	3498	6
CCPG1	5757	3274	2
FAM82A1	5758	6158	1
PPM1B	5759	13885	2
LRRC49	5760	10319	2
THAP10	5760	17959	2
GSTCD	5761	7495	2
INTS12	5761	8522	2
LUC7L3	5762	10399	1
C1orf150	5764	2185	2
KCNJ10	5765	8796	2
B4GALNT3	5766	1347	2
EGLN3	5767	5431	2
HTR2C	5768	8178	2
NCKAP1	5769	11615	2
SFRP2	5770	15867	5
DLST	5771	5009	2
ARL6	5772	1014	2
PPP1R14A	5773	13908	2
OR2W1	5774	12502	2
B4GALT1	5775	1349	2
STAT5B	5776	17368	2
SNRPF	5777	16946	2
PODXL2	5778	13716	3
SCT	5779	15635	2
KCNK3	5780	8820	2
NGFRAP1	5781	11847	2
AR	5782	1074	11
CKB	5783	3804	2
FYTTD1	5784	6743	2
KIAA0226	5784	8924	2
MTMR2	5785	11319	1
SERPINA10	5786	15789	2
TRPV3	5787	18751	2
HS1BP3	5788	8081	2
GSN	5789	7485	2
PIAS3	5790	13394	2
ZNF641	5791	20313	2
DDX42	5792	4776	2
CCDC47	5792	3150	4
MED1	5794	10769	1
C6orf118	5795	2592	2
LY6D	5796	10407	2
SLITRK4	5797	16467	2
SYK	5798	17543	7
GNAI1	5799	7142	2
VPS28	5800	19410	2
NFKBIL2	5800	11834	2
CAPZA1	5801	2964	3
ST7L	5801	17323	3
TRAM1L1	5802	18595	2
CLPB	5804	3913	2
EFNA3	5805	5412	2
C17orf80	5807	2045	4
FAM104A	5807	5860	4
RAB33B	5808	14515	2
MARK4	5809	10639	2
CACNG1	5810	2877	2
ATP13A4	5811	1199	2
CDH6	5812	3454	2
ELN	5813	5537	2
ATP4B	5814	1219	2
DCI	5816	4702	2
IL17RA	5817	8382	2
ZER1	5818	19864	2
CR1	5819	4208	2
CIZ1	5820	3799	4
DNM1	5820	5116	4
REG1A	5821	14819	2
C6orf141	5822	2606	2
C9orf100	5823	2750	2
MYADM	5824	11385	2
C16orf59	5825	1972	2
CYP2C18	5826	4569	2
SP8	5827	17049	2
ERO1L	5828	5712	2
NPR3	5829	12055	2
PAX6	5830	12982	2
RPL12	5831	15191	4
LRSAM1	5831	10359	4
SUMF1	5833	17486	2
SLC19A3	5834	16145	2
IL17RE	5835	8387	3
IL17RC	5835	8384	3
CBY1	5836	3052	2
LOC646851	5836	10102	2
PCSK2	5838	13107	1
ADAM7	5839	291	1
BBS5	5840	1417	2
ATP9A	5841	1273	2
DSEL	5842	5227	2
NFKBIA	5843	11829	2
C15orf29	5844	1930	2
SMPX	5845	16537	2
MSI2	5846	11244	2
MAPRE1	5847	10618	2
MAPK13	5848	10598	2
FRMPD2	5849	6671	2
KCNV1	5850	8849	2
MLC1	5851	10975	2
FAM98B	5852	6189	2
BUD13	5853	1671	2
DNMBP	5854	5119	2
FBXW9	5855	6308	2
NCOA2	5856	11622	2
TMEM186	5857	18233	4
PMM2	5857	13664	4
C5orf13	5858	2547	2
UNC5B	5859	19190	2
RPA2	5860	15170	2
PTGES3	5861	14329	2
TPSAB1	5862	18565	1
POPDC3	5863	13799	2
RNF31	5864	15111	2
PSME2	5864	14285	2
NUDT16L1	5865	12194	2
CACYBP	5866	2885	2
PIP4K2C	5867	13455	2
BCL2L2	5868	1451	2
ACAT2	5869	159	2
ANKRD9	5870	739	2
SYNM	5871	17560	2
UBE3A	5872	19077	8
EHD3	5873	5441	2
HIST1H3H	5874	7862	2
EMP1	5876	5569	2
BTNL9	5877	1666	2
THBS1	5878	17971	4
OSGIN1	5879	12768	2
ALDH18A1	5880	535	2
WDFY3	5881	19494	2
C4orf12	5881	2511	2
BHMT	5882	1511	2
PRKCE	5883	14073	2
PSEN2	5884	14227	2
KBTBD7	5885	8750	2
GALR1	5886	6847	7
PCDHB10	5888	13033	2
LMNA	5890	9639	2
GDF7	5891	6947	2
MAGI2	5892	10513	2
PRPF8	5893	14142	2
PTCD2	5894	14308	3
MRPS27	5894	11204	3
SEC11A	5895	15676	2
ARHGAP4	5896	950	2
ZNF211	5897	20012	2
ETV3	5898	5752	2
CYP2A6	5899	4565	1
MRPL3	5900	11168	2
TH	5901	18006	2
IRF1	5902	8578	2
IL19	5903	8392	2
GAN	5904	6855	2
CHUK	5905	3771	1
LMBR1L	5906	9631	2
HSPA1A	5907	8138	3
HSPA1L	5907	8140	3
CHRDL1	5909	3727	2
APOA4	5910	843	2
KRT77	5911	9265	2
CD79A	5912	3373	2
ZZEF1	5913	20528	4
CYB5D2	5913	4526	4
LILRB4	5914	9579	2
TSPAN3	5915	18806	2
FOXN3	5916	6629	2
RNF11	5917	15049	2
ZNF770	5918	20401	2
TP73	5919	18532	12
WDR1	5921	19504	2
PTGIS	5922	14334	2
SERINC3	5923	15784	2
VPS4B	5924	19424	2
HMGB3	5925	7938	2
TNFSF18	5926	18442	2
ST7OT4	5927	17327	1
ST7OT1	5927	17324	1
ST7	5927	17328	1
SFRP5	5929	15869	5
PIGZ	5930	13422	2
NUAK2	5931	12176	1
C1orf86	5932	2260	2
ACVR1B	5933	257	2
CNNM3	5934	3979	2
CACNA1G	5935	2865	6
JAKMIP3	5936	8694	2
INSIG2	5937	8511	2
YIF1A	5938	19709	1
RBMXL1	5939	14751	1
CCBL2	5939	3060	1
PHYHIP	5940	13381	2
SLC17A2	5941	16132	2
IL1F10	5942	8395	1
MICAL1	5943	10928	2
TMTC4	5944	18397	2
GYS1	5946	7584	2
RUVBL2	5946	15416	2
SLC5A12	5947	16380	2
PRKAG2	5948	14063	2
EID2	5949	5450	2
PRELP	5950	14033	2
PSMA3	5951	14246	2
RNASE1	5952	15022	2
PKD2L1	5953	13488	2
FAM174A	5954	5985	1
C10orf32	5955	1705	2
TRAF3IP3	5956	18585	1
CLOCK	5957	3911	2
CLNS1A	5958	3910	2
ADPRH	5959	374	2
APEX2	5960	829	2
UGT1A10	5961	19144	10
UGT1A7	5961	19150	7
UGT1A9	5961	19152	8
UGT1A8	5961	19151	10
TEX9	5962	17902	1
RRP1B	5963	15349	3
HSF2BP	5963	8118	5
PI4K2B	5964	13387	2
ALKBH7	5965	577	2
BICD2	5966	1514	2
KLF16	5967	9113	1
NFATC1	5968	11813	2
NOTCH4	5969	12008	4
SLC7A10	5970	16410	2
ERH	5972	5698	2
SLC39A9	5972	16342	2
IGFALS	5973	8320	2
SLTM	5974	16476	1
ANPEP	5975	762	2
BRIP1	5976	1607	2
C16orf68	5977	1977	1
GAMT	5978	6852	2
ABCA7	5979	71	2
RPL18	5980	15203	3
SPHK2	5980	17134	3
PDE4D	5981	13150	4
PRRT2	5982	14182	4
RUNX2	5983	15411	4
SUPT3H	5983	17500	4
PAGE2	5984	12880	1
LONRF2	5986	10202	2
RIN1	5987	14988	2
OIT3	5988	12315	1
BST1	5989	1627	1
RPL3L	5990	15242	2
GUCA2A	5991	7555	1
HCN2	5992	7689	2
UBE2D2	5993	19043	2
C1orf175	5995	2200	2
MYH10	5996	11409	2
GRM1	5997	7455	2
CLN6	5998	3907	3
IRF8	5999	8587	2
TBCD	6001	17744	4
ZNF750	6001	20390	2
GAB2	6002	6765	2
LRRC57	6004	10327	3
HAUS2	6004	7643	3
SNX16	6005	16964	2
MEGF8	6006	10797	4
CORO1A	6007	4119	2
USF1	6008	19235	3
RUNX3	6009	15412	16
GLTPD1	6010	7106	1
CPSF3L	6010	4191	1
CORO6	6011	4124	2
MTNR1A	6012	11327	2
LOC81691	6013	10176	4
ERI2	6013	5700	4
NXT2	6014	12261	2
TTC38	6015	18868	2
DDX28	6016	4770	8
DUS2L	6016	5260	8
NEUROG3	6017	11805	2
TSPAN2	6018	18802	2
EML4	6019	5566	2
FAM76B	6020	6151	2
CEP57	6020	3606	2
TMSL3	6021	18393	2
FAM190A	6021	6019	1
GNAS	6022	7149	29
ACTC1	6024	232	2
UQCRC1	6025	19221	2
TRIM15	6026	18637	2
PDZD4	6027	13212	2
ATRNL1	6028	1280	3
PPFIBP1	6030	13858	2
NOL10	6031	11977	2
RUFY3	6032	15402	2
C20orf72	6034	2322	2
SNX5	6034	16983	2
SENP6	6035	15749	2
GABRD	6036	6786	2
RASSF1	6037	14683	9
MS4A5	6038	11231	2
KLHL21	6039	9145	2
SARM1	6040	15506	2
VTN	6040	19450	3
SLC12A4	6042	16100	4
FAM55C	6043	6104	4
KRT34	6044	9246	1
C21orf91	6045	2359	2
UBE2D1	6046	19042	2
PLXNA4	6047	13647	3
KIAA1409	6048	8995	5
BTBD7	6048	1642	3
ENY2	6049	5616	2
NUDCD1	6049	12184	2
RNF38	6050	15114	2
ZMYND10	6051	19949	3
CLK1	6052	3897	2
ADSS	6053	389	1
PPM1D	6054	13886	2
TCEB2	6055	17792	2
FFAR1	6056	6367	2
SPHKAP	6057	17135	2
MTUS1	6058	11340	2
MT1B	6059	11270	2
SAE1	6061	15469	2
PSMD1	6062	14275	3
HTR2B	6062	8177	1
CLSPN	6064	3923	2
MSLN	6065	11250	2
ELOVL6	6066	5544	2
CLDN3	6067	3845	1
STIL	6068	17381	2
SPRR1A	6069	17183	2
ASCC1	6070	1102	2
PRCC	6071	14005	2
CDC123	6072	3393	4
NUDT5	6072	12206	4
TTLL12	6073	18886	2
NELL2	6074	11783	2
RAP2A	6075	14636	2
NFATC4	6076	11817	2
CGREF1	6077	3658	2
USP25	6078	19260	2
CLEC3B	6079	3871	2
GZMA	6080	7587	1
TAL2	6081	17648	2
SPG11	6082	17128	2
NGLY1	6083	11850	2
OXSM	6083	12817	2
ATP4A	6084	1218	2
KLK10	6086	9169	11
OSBPL5	6088	12758	8
XPO5	6089	19681	2
POLH	6089	13738	2
KRT85	6090	9274	2
NDST3	6091	11705	2
HERC4	6092	7755	2
ITIH1	6093	8655	2
HNRNPK	6094	7983	4
RMI1	6094	15012	4
EBF3	6095	5339	1
DDX28	6096	4770	8
DUS2L	6096	5260	8
GYS2	6097	7585	2
NFE2L2	6098	11819	2
HEPACAM	6099	7746	2
TCF15	6100	17799	2
PIPOX	6101	13461	2
CNOT4	6102	3985	2
MAGEA8	6103	10490	2
KBTBD6	6104	8749	1
SPI1	6105	17136	2
ACY3	6106	264	2
SERPINB1	6107	15804	2
BATF3	6108	1403	2
TNFRSF19	6109	18425	2
VSX1	6110	19444	2
HPN	6111	8051	2
HEYL	6112	7776	1
GAK	6113	6816	2
TMEM175	6113	18216	2
SHOX2	6114	16000	2
GALNT11	6115	6828	2
ZNF787	6116	20418	2
CBX2	6117	3045	2
HNRNPH2	6118	7981	2
GLA	6118	7061	2
GRIK3	6119	7434	2
SFRP1	6120	15866	5
PNN	6121	13695	2
ZNF207	6122	20009	5
RBMS1	6123	14747	2
DPF1	6124	5162	2
ACOT13	6125	187	3
MRPL16	6126	11146	2
HP	6127	8064	2
SPTLC2	6129	17214	2
GABRQ	6130	6792	2
WDR55	6131	19531	1
GALNS	6132	6826	4
TRAPPC2L	6132	18602	4
TMEM54	6133	18312	1
AFF3	6134	400	2
SLC17A6	6135	16136	2
FITM1	6136	6439	2
ZNF501	6137	20202	2
YWHAG	6138	19737	2
GULP1	6139	7568	2
ANP32A	6140	757	2
INSL3	6141	8512	2
GAS5	6142	6870	2
SNORD76	6142	16898	1
SNORD75	6142	16897	1
SNORD77	6142	16899	1
ZBTB37	6142	19773	2
SNORD74	6142	16896	2
PRR7	6143	14175	2
SERPINA3	6145	15794	2
DIRAS3	6146	4956	14
RIF1	6147	14975	2
TSFM	6148	18770	2
SLC1A6	6149	16151	2
GADD45GIP1	6150	6800	2
FAM54A	6151	6100	2
CPO	6153	4186	2
TMEM184A	6154	18228	2
TREM1	6155	18615	1
CRK	6156	4252	2
H19	6157	7592	14
ATP1B2	6158	1206	2
SOX30	6159	17030	1
CTNND1	6160	4409	1
ST6GALNAC5	6161	17321	2
FANCC	6162	6198	2
MARK2	6163	10637	2
ASPHD2	6164	1127	2
FRMPD2	6165	6671	2
AK3	6166	487	2
ARTN	6167	1070	2
ITM2A	6168	8664	2
CYP2F1	6169	4576	2
SLC22A18AS	6170	16163	8
SLC22A18	6170	16164	16
ZNF684	6171	20347	2
GGPS1	6172	6991	2
ARID4B	6172	986	2
LIX1	6173	9623	2
ABCA9	6174	73	1
